pk,movie_id,keyword_id
1250,851644,305496
1251,851644,305497
1252,851644,305498
1253,732459,810
1254,732459,1462
1255,955991,10326
1256,955991,18011
1257,955991,46950
1258,955991,191440
1259,955991,229863
1260,955991,297720
1261,760204,2321
1262,760204,3541
1263,760204,7158
1264,760204,9826
1265,760204,13031
1266,760204,18034
1267,760204,235513
1268,760204,244949
1269,760204,267007
1270,760204,273967
1271,298618,1308
1272,298618,1701
1273,298618,9715
1274,298618,9717
1275,298618,10761
1276,298618,33637
1277,298618,228795
1278,298618,229266
1279,298618,235578
1280,740952,9748
1281,740952,155936
1282,740952,237369
1283,740952,270236
1284,118412,3070
1285,118412,5147
1286,118412,9725
1287,118412,10292
1288,118412,13141
1289,118412,15001
1290,118412,41406
1291,877269,1299
1292,877269,4855
1293,877269,154846
1294,877269,157155
1295,877269,163037
1296,877269,262125
1297,245891,2708
1298,245891,3149
1299,245891,3271
1300,245891,8045
1301,245891,9748
1302,245891,9826
1303,245891,15162
1304,245891,18115
1305,245891,33476
1306,792775,14522
1307,792775,15363
1308,792775,158718
1309,792775,222760
1310,792775,234655
1311,792775,242104
1312,792775,249794
1313,792775,264384
1314,399566,11100
1315,399566,12616
1316,399566,158126
1317,399566,161791
1318,399566,188953
1319,399566,196425
1320,399566,272228
1321,399566,283841
1322,399566,293178
1323,585083,1299
1324,585083,3133
1325,585083,4375
1326,585083,179430
1327,585083,179431
1328,585083,274787
1329,337404,1228
1330,337404,2095
1331,337404,3289
1332,337404,4470
1333,337404,7024
1334,337404,15479
1335,337404,242214
1336,337404,245230
1337,566525,779
1338,566525,9715
1339,566525,9717
1340,566525,9917
1341,566525,14988
1342,566525,179430
1343,566525,179431
1344,566525,180547
1345,566525,240119
1346,931954,380
1347,931954,744
1348,931954,1663
1349,931954,2642
1350,931954,33347
1351,931954,173317
1352,931954,206915
1353,931954,240315
1354,931954,241738
1355,931954,251723
1356,830784,4344
1357,830784,15101
1358,830784,170356
1359,830784,209220
1360,830784,267848
1361,744276,818
1362,744276,9673
1363,744276,10791
1364,105905,2722
1365,105905,3691
1366,105905,14922
1367,105905,33841
1368,105905,184157
1369,105905,215479
1370,105905,231686
1371,105905,249600
1372,105905,254547
1373,105905,278255
1374,105905,296479
1375,105905,300247
1376,109428,9663
1377,109428,12377
1378,109428,15001
1379,109428,50009
1380,109428,157458
1381,109428,157466
1382,109428,165583
1383,109428,179430
1384,109428,179431
1385,109428,251513
1386,1035806,13015
1387,1035806,232488
1388,1035806,232675
1389,1035806,236263
1390,1035806,252593
1391,1035806,273967
1392,1035806,281576
1393,580489,1701
1394,580489,2095
1395,580489,3289
1396,580489,6259
1397,580489,9663
1398,580489,9715
1399,580489,9717
1400,580489,13031
1401,580489,13073
1402,580489,179430
1403,580489,193132
1404,580489,243818
1405,580489,315023
1406,845659,818
1407,845659,14955
1408,845659,156330
1409,845659,297559
1410,113082,3070
1411,113082,5147
1412,113082,9725
1413,113082,10292
1414,113082,13141
1415,113082,15001
1416,113082,210024
1417,216015,818
1418,216015,1664
1419,216015,1866
1420,216015,9785
1421,216015,9840
1422,216015,9888
1423,216015,12547
1424,216015,34143
1425,216015,158713
1426,216015,187056
1427,338958,2343
1428,338958,3205
1429,338958,4344
1430,338958,4896
1431,338958,7376
1432,338958,9663
1433,338958,273980
1434,91314,5699
1435,91314,9663
1436,91314,9951
1437,91314,10542
1438,91314,10891
1439,91314,14544
1440,370172,351
1441,370172,470
1442,370172,818
1443,370172,3446
1444,370172,14555
1445,370172,18035
1446,370172,156095
1447,370172,159947
1448,370172,206959
1449,370172,219965
1450,801071,3199
1451,801071,9663
1452,801071,191327
1453,964913,161194
1454,964913,240303
1455,10144,658
1456,10144,2407
1457,10144,3071
1458,10144,4152
1459,10144,5600
1460,10144,5938
1461,10144,7376
1462,10144,9970
1463,10144,11860
1464,10144,12541
1465,10144,33479
1466,10144,179411
1467,10144,188993
1468,10144,190406
1469,10144,238247
1470,10144,240303
1471,728754,209569
1472,112355,514
1473,112355,12565
1474,112355,14558
1475,112355,207984
1476,960258,2988
1477,960258,15097
1478,960258,15098
1479,960258,50009
1480,960258,283882
1481,960258,301836
1482,960258,301837
1483,960258,301838
1484,960258,301839
1485,760104,798
1486,760104,1228
1487,760104,1366
1488,760104,1420
1489,760104,1543
1490,760104,1556
1491,760104,3184
1492,760104,4580
1493,760104,7344
1494,760104,10714
1495,760104,12339
1496,760104,158436
1497,760104,160963
1498,760104,178848
1499,760104,181324
1500,324786,233
1501,324786,1956
1502,324786,2299
1503,324786,2821
1504,324786,3036
1505,324786,5565
1506,324786,8676
1507,324786,8997
1508,324786,9672
1509,324786,10292
1510,324786,11001
1511,324786,13065
1512,324786,33457
1513,324786,33482
1514,324786,180507
1515,324786,185454
1516,324786,244233
1517,324786,245748
1518,760741,11338
1519,106646,417
1520,106646,1803
1521,106646,2095
1522,106646,3202
1523,106646,4373
1524,106646,5636
1525,106646,6974
1526,106646,9672
1527,106646,10453
1528,106646,10631
1529,106646,10910
1530,106646,14964
1531,106646,156260
1532,106646,156277
1533,106646,163048
1534,106646,199518
1535,106646,208289
1536,106646,228538
1537,106646,234814
1538,106646,247861
1539,876797,818
1540,876797,9672
1541,876797,189150
1542,876797,244886
1543,1040603,6158
1544,290271,210024
1545,799379,378
1546,799379,3799
1547,799379,8083
1548,799379,262404
1549,337167,818
1550,337167,1664
1551,337167,9663
1552,337167,158713
1553,406759,305
1554,406759,3528
1555,406759,3801
1556,406759,4190
1557,406759,4631
1558,406759,4862
1559,406759,6669
1560,406759,10617
1561,406759,12026
1562,406759,12332
1563,406759,12654
1564,406759,14626
1565,406759,161289
1566,406759,191586
1567,671,212
1568,671,616
1569,671,818
1570,671,2343
1571,671,2921
1572,671,3650
1573,671,3884
1574,671,4238
1575,671,6054
1576,671,6271
1577,671,10873
1578,671,41175
1579,671,170362
1580,671,177912
1581,671,207317
1582,671,246466
1583,671,248939
1584,671,272301
1585,739405,470
1586,549294,879
1587,549294,2411
1588,549294,4379
1589,549294,4551
1590,549294,7464
1591,549294,9887
1592,549294,10941
1593,549294,12392
1594,549294,41352
1595,549294,41603
1596,549294,234945
1597,549294,251961
1598,549294,275447
1599,779782,10873
1600,779782,246466
1601,829557,3149
1602,829557,9663
1603,829557,158713
1604,829557,189141
1605,829557,296713
1606,267805,378
1607,267805,534
1608,267805,1930
1609,267805,9826
1610,267805,10084
1611,267805,197521
1612,267805,202056
1613,756999,380
1614,756999,516
1615,756999,625
1616,756999,1228
1617,756999,1415
1618,756999,1566
1619,756999,1930
1620,756999,1981
1621,756999,2546
1622,756999,2602
1623,756999,6152
1624,756999,6733
1625,756999,9866
1626,756999,10714
1627,756999,156866
1628,756999,161545
1629,756999,170865
1630,24428,242
1631,24428,5539
1632,24428,9715
1633,24428,9717
1634,24428,14909
1635,24428,155030
1636,24428,179430
1637,24428,179431
1638,24428,180547
