id,name
41329,mental illness
156075,evil
157701,psychotic
241827,demonic
268132,based on short film
278807,ptsd
9672,based on true story
161257,medieval
18011,pregnant woman
187056,woman director
301766,porno
10158,alien planet
230857,alien creature
281358,science fiction
3255,door
5096,natural disaster
10809,teenage girl
68646,supernatural creature
210024,anime
8531,panda
10468,bear
15199,rabbit
1721,fight
7312,road trip
11322,female protagonist
254608,encounter group
1674,stage
11477,anthropomorphism
12990,singing
18165,animal
306945,show
2343,magic
2434,liberation
2596,lordship
3071,prince
3098,castle
3205,fairy tale
4147,robin hood
4158,enchantment
4551,swamp
7376,princess
9755,parody
11477,anthropomorphism
12554,dragon
187056,woman director
189111,ogre
311143,cartoon donkey
65,holiday
1991,santa claus
207317,christmas
10683,coming of age
10809,teenage girl
157303,first love
164246,nostalgic
206671,city life
305496,coming out of habits
305497,fresh city
305498,dreaming of a girl
810,budapest hungary
1462,samurai
10326,morgue
18011,pregnant woman
46950,dagger
191440,jewish family
229863,ancient evil
297720,dark pact
2321,bunker
3541,afghanistan
7158,afghanistan war (2001- )
9826,murder
13031,creature
18034,desert
235513,alien dna
244949,medical experiment
267007,russian
273967,war
1308,secret identity
1701,hero
9715,superhero
9717,based on comic
10761,superhuman
33637,super power
228795,butterfly effect
229266,dc extended universe (dceu)
235578,superhuman abilities
9748,revenge
155936,recovering addict
237369,police pursuit
270236,opioid use disorder
3070,mercenary
5147,sorcery
9725,sword fight
10292,gore
13141,based on manga
15001,demon
41406,middle ages
1299,monster
4855,harmony
154846,farmer
157155,explorer
163037,lgbt teen
262125,alternative world
2708,hitman
3149,gangster
3271,secret organization
8045,russian mafia
9748,revenge
9826,murder
15162,dog
18115,retired
33476,widower
14522,co-workers relationship
15363,bank robbery
158718,lgbt
222760,crime spoof
234655,football (soccer) match
242104,ruthless cop
249794,reykjavík iceland
264384,gay
11100,giant monster
12616,dinosaur
158126,creature feature
161791,kaiju
188953,sign languages
196425,giant ape
272228,monsterverse
283841,robot dinosaur
293178,king kong
1299,monster
3133,vampire
4375,transformation
179430,aftercreditsstinger
179431,duringcreditsstinger
274787,human
1228,1970s
2095,anti hero
3289,villain
4470,punk rock
7024,fashion designer
15479,fashion
242214,origin story
245230,live action remake
779,martial arts
9715,superhero
9717,based on comic
9917,mixed martial arts
14988,east asian lead
179430,aftercreditsstinger
179431,duringcreditsstinger
180547,marvel cinematic universe (mcu)
240119,father son relationship
380,sibling relationship
744,madrid spain
1663,go-go dancer
2642,solar eclipse
33347,apartment building
173317,old building
206915,estranged sister
240315,mother daughter relationship
241738,sister sister relationship
251723,outskirts
4344,musical
15101,based on children's book
170356,outsider
209220,live action and animation
267848,talking animals
818,based on novel or book
9673,love
10791,teenage crush
2722,subjectivity
3691,forbidden love
14922,kendo
33841,incest
184157,multiple roles
215479,bloodline
231686,cuckolded husband
249600,actor playing multiple roles
254547,taisho
278255,taishō period
296479,showa
300247,showa era
9663,sequel
12377,zombie
15001,demon
50009,survival horror
157458,book of the dead
157466,necronomicon
165583,interracial friendship
179430,aftercreditsstinger
179431,duringcreditsstinger
251513,supernatural power
13015,terrorism
232488,terrorism threat
232675,domestic terrorism
236263,reign of terror
252593,state terrorism
273967,war
281576,hunter are hunted
1701,hero
2095,anti hero
3289,villain
6259,psychopath
9663,sequel
9715,superhero
9717,based on comic
13031,creature
13073,fear
179430,aftercreditsstinger
193132,symbiote
243818,carnage
315023,venom character
818,based on novel or book
14955,fighting
156330,boxing trainer
297559,mma
3070,mercenary
5147,sorcery
9725,sword fight
10292,gore
13141,based on manga
15001,demon
210024,anime
818,based on novel or book
1664,eroticism
1866,bad smell
9785,perversion
9840,romance
9888,spanking
12547,billionaire
34143,rich
158713,bdsm
187056,woman director
2343,magic
3205,fairy tale
4344,musical
4896,wish
7376,princess
9663,sequel
273980,streaming
5699,music video
9663,sequel
9951,alien
10542,based on toy
10891,giant robot
14544,robot
351,poison
470,spy
818,based on novel or book
3446,forgiveness
14555,mi6
18035,family
156095,british secret service
159947,parents
206959,global threat
219965,nanobots
3199,clown
9663,sequel
191327,evil clown
161194,estranged father
240303,father daughter relationship
658,sea
2407,fireworks
3071,prince
4152,kingdom
5600,daughter
5938,mermaid
7376,princess
9970,crab
11860,fish out of water
12541,misunderstanding
33479,single father
179411,based on fairy tale
188993,true love
190406,bargain
238247,trident
240303,father daughter relationship
209569,doraemon
514,spain
12565,psychological thriller
14558,bathtub
207984,expelled from school
2988,shark attack
15097,shark
15098,great white shark
50009,survival horror
283882,attack on civilians
301836,girl vs. shark
301837,girl vs shark
301838,shark water
301839,blow up
798,sheriff
1228,1970s
1366,shotgun
1420,gas station
1543,war veteran
1556,texas
3184,alligator
4580,van
7344,porn star
10714,serial killer
12339,slasher
158436,porn actress
160963,elderly couple
178848,isolated farmhouse
181324,existentialism
233,japan
1956,world war ii
2299,violent father
2821,pacifism
3036,bible
5565,biography
8676,okinawa
8997,conscientious objector
9672,based on true story
10292,gore
11001,religion
13065,soldier
33457,alcoholic
33482,war hero
180507,medic
185454,us military
244233,battle of okinawa
245748,congressional medal of honor
11338,wild animal
417,corruption
1803,drug addiction
2095,anti hero
3202,con man
4373,fraud
5636,wall street
6974,rise and fall
9672,based on true story
10453,con artist
10631,stockbroker
10910,wealthy
14964,drugs
156260,stripping
156277,hedonism
163048,decadence
199518,corrupt
208289,1980s
228538,sharemarket fraud
234814,financial market
247861,black monday
818,based on novel or book
9672,based on true story
189150,incurable disease
244886,love story
6158,cult
210024,anime
378,prison
3799,ship
8083,pacific
262404,extreme violence
818,based on novel or book
1664,eroticism
9663,sequel
158713,bdsm
305,moon
3528,flooding
3801,space travel
4190,lost civilisation
4631,looting
4862,alien life-form
6669,stepfather
10617,disaster
12026,alternate history
12332,apocalypse
12654,armageddon
14626,astronaut
161289,space shuttle
191586,trapped in space
212,london england
616,witch
818,based on novel or book
2343,magic
2921,school friend
3650,child hero
3884,school of witchcraft
4238,chosen one
6054,friendship
6271,boarding school
10873,school
41175,shopping
170362,fantasy world
177912,wizard
207317,christmas
246466,based on young adult novel
248939,forbidden
272301,owl
470,spy
879,brain tumor
2411,new orleans louisiana
4379,time travel
4551,swamp
7464,alcoholism
9887,surrealism
10941,disappearance
12392,best friend
41352,drug overdose
41603,paramedic
234945,synthetic drug
251961,drug
275447,pineal gland
10873,school
246466,based on young adult novel
3149,gangster
9663,sequel
158713,bdsm
189141,rich man poor woman
296713,erotique
378,prison
534,mexico
1930,kidnapping
9826,murder
10084,rescue
197521,innocent
202056,avenge
380,sibling relationship
516,child abuse
625,sadistic
1228,1970s
1415,small town
1566,dream
1930,kidnapping
1981,colorado
2546,mask
2602,cellar
6152,supernatural
6733,bullying
9866,basement
10714,serial killer
156866,based on short story
161545,alcoholic father
170865,child kidnapping
242,new york city
5539,shield
9715,superhero
9717,based on comic
14909,alien invasion
155030,superhero team
179430,aftercreditsstinger
179431,duringcreditsstinger
180547,marvel cinematic universe (mcu)
212,london england
616,witch
2343,magic
3737,dying and death
3884,school of witchcraft
10164,apparition
10541,curse
10791,teenage crush
10873,school
12564,werewolf
18425,teenage love
157904,luck
177912,wizard
181112,secret past
246466,based on young adult novel
1299,monster
1332,cheating
1930,kidnapping
3256,infant
3289,villain
4210,panic
6107,energy supply
7939,portal
9713,friends
9823,rivalry
12011,hijinks
12392,best friend
14569,chameleon
18035,family
33465,parallel world
167106,conveyor belt
189115,invisibility
204006,energy company
236560,conspirators
642,robbery
1543,war veteran
1562,hostage
1621,robber
2752,ranch
3262,surgeon
3607,hold-up robbery
4932,farm
10770,mad doctor
12639,brutal death
13005,doctor
15009,criminal
161231,hideout
175884,organ donation
178848,isolated farmhouse
179095,evil doctor
185994,ex military
198181,golem
227369,organ harvest
232871,splatter film
239375,mad surgeon
264811,pawn shop
267422,rural setting
287884,organ trafficking
298364,organ harvesting
155477,softcore
179431,duringcreditsstinger
6259,psychopath
6625,family secrets
9675,prequel
9826,murder
11062,impersonator
18409,mental patient
161814,psycho killer
173298,escaped mental patient
197430,missing daughter
210544,estonia
227855,female psychopath
2020,revolution
2434,liberation
2831,slavery
3230,male friendship
3538,freedom fighter
4107,british empire
10084,rescue
10194,interracial romance
12995,historical fiction
15060,period drama
15126,historical
207876,1920s
209365,history of india
212864,killed in action
273967,war
283297,music
818,based on novel or book
190179,parkinson's disease
298372,archive footage
378,prison
534,mexico
1415,small town
2626,exorcism
9712,possession
10375,possessed
159940,exorcist
131,italy
697,loss of loved one
699,love at first sight
818,based on novel or book
1295,europe
1715,symbolism
4677,patriarch
10291,organized crime
10391,mafia
10909,lawyer
11001,religion
15095,revenge motive
33421,crime family
